pathways	pvals	adjP	ctype	pathType	universe	coefType	direction
HA_Extracellular_Degradation	1	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
Extracellular_Degradation	0.582727039834481	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
Glycan_Degradation	0.212580133422785	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
Pathway	0.601424247693561	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
Heparan_Sulfate	0.746950459201316	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
O-Xyl	0.463022025839911	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
GAG	0.582142252453465	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
CorePathways	0.597341105345663	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
Glycosylation	0.868859003151354	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
Chondroitin&Dermatan_Sulfate	0.145649649770862	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
CS&DS_Polymerization	0.625919945169693	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
Capping	1	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
HS_Sulfation	0.805825569248013	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
Nucleotide_Sugar_Synthesis	0.399695357485298	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
Nucleotide_Sugar	0.358573693331717	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
donor_synthesis	0.3969479765391	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
UDP-GlcNAc_Synthesis	0.625919945169693	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
UDP-GalNAc_Transport	1	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
Nucleotide_Sugar_Transport	0.534548852407421	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
UDP-GlcA_Transport	1	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
O-Man	0.783399878863591	1	TCGA_BLCA	Pathways	genome	tumorVnormal	up
